un_stats_country,deaths_country
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
Andorra,Andorra
Angola,Angola
Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina
Armenia,Armenia
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahamas,Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bhutan,Bhutan
Bolivia (Plurinational State of),Bolivia
Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
Brunei Darussalam,Brunei
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Myanmar,Burma
Burundi,Burundi
Cabo Verde,Cabo Verde
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Central African Republic,Central African Republic
Chad,Chad
Chile,Chile
China,China
Colombia,Colombia
Congo,Congo (Brazzaville)
Democratic Republic of the Congo,Congo (Kinshasa)
Costa Rica,Costa Rica
Croatia,Croatia
Cuba,Cuba
Cyprus,Cyprus
Czechia,Czechia
Denmark,Denmark
Djibouti,Djibouti
Dominica,Dominica
Dominican Republic,Dominican Republic
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Swaziland,Eswatini
Ethiopia,Ethiopia
Fiji,Fiji
Finland,Finland
France,France
Gabon,Gabon
Gambia,Gambia
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Greece,Greece
Grenada,Grenada
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Haiti,Haiti
Holy See,Holy See
Honduras,Honduras
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran (Islamic Republic of),Iran
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Republic of Korea,"Korea, South"
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Lao People's Democratic Republic,Laos
Latvia,Latvia
Lebanon,Lebanon
Liberia,Liberia
Libya,Libya
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luxembourg,Luxembourg
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
Republic of Moldova,Moldova
Monaco,Monaco
Mongolia,Mongolia
Montenegro,Montenegro
Morocco,Morocco
Mozambique,Mozambique
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
The former Yugoslav Republic of Macedonia,North Macedonia
Norway,Norway
Oman,Oman
Pakistan,Pakistan
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Qatar,Qatar
Romania,Romania
Russian Federation,Russia
Rwanda,Rwanda
Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Lucia,Saint Lucia
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
San Marino,San Marino
Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovakia,Slovakia
Slovenia,Slovenia
Somalia,Somalia
South Africa,South Africa
South Sudan,South Sudan
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan
Suriname,Suriname
Sweden,Sweden
Switzerland,Switzerland
Syrian Arab Republic,Syria
United Republic of Tanzania,Tanzania
Thailand,Thailand
Timor-Leste,Timor-Leste
Togo,Togo
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
United States of America,US
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Venezuela (Bolivarian Republic of),Venezuela
Viet Nam,Vietnam
Western Sahara,Western Sahara
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe